Localidad,Provincia,CCAA,Clave ACT,Clave GRU,NIF,Entidad financiada 
La Orotava,Tenerife,CANA,DEP,OR,G38592101,Salesianos - CD.
Las Palmas,Las Palmas,CANA,AS,EC,G38597332,Mensajeros de la Paz
Santa Cruz,Tenerife,CANA,AS,EC,G38597332,Mensajeros de la Paz
Abona,Tenerife,CANA,CH,EC,G38748059,AF. Inmaculado Corazón de María
Santa Cruz,Tenerife,CANA,AS,EC,G38853784,Banco de Alimentos
Santander,Cantabria,CANT,AS,EC,G39010228,La Caridad
Medio Cudeyo,Cantabria,CANT,ED,EC,G39011374,Asociación Católica de Padres
Santander,Cantabria,CANT,AS,EC,G39019641,Fundación Apóstol Santiago
Santander,Cantabria,CANT,IC,ID,G39047394,Federación Católica Diocesana
Camargo,Cantabria,CANT,ED,OR,G39050596,Jesuitas - AMPA Colegio SAFA
Santander,Cantabria,CANT,ED,OR,G39077714,Esclavas del Sagrado Corazón de Jesús - A. Católica Alumnas
Santander,Cantabria,CANT,DEP,OR,G39208186,Escolapios - CD. Calasanz
Santander,Cantabria,CANT,CH,EC,G39211586,Junta de Cofradías
Santander,Cantabria,CANT,ED,OR,G39228366,Educere - Colegio San José
El Astillero,Cantabria,CANT,CH,EC,G39285184,Cofradía Cristo Yacente
Santander,Cantabria,CANT,DEP,OR,G39295969,Salesianos - CF. Cervantes
Santander,Cantabria,CANT,DEP,OR,G39305966,La Salle - CD.
Santander,Cantabria,CANT,AS,EC,G39323456,Proyecto Hombre
Villacarriedo,Cantabria,CANT,ED,OR,G39327929,Escolapios - APA Colegio Calasanz
El Astillero,Cantabria,CANT,AS,EC,G39359542,Banco de Alimentos
Santander,Cantabria,CANT,AS,EC,G39359542,Banco de Alimentos
Santander,Cantabria,CANT,AS,EV,G39456298,Asociación Evangélica Nueva Vida
Camargo,Cantabria,CANT,AS,EC,G39532601,MSC - Movimiento Scout Católico
Santander,Cantabria,CANT,AS,EC,G39532601,MSC - Movimiento Scout Católico
Santander,Cantabria,CANT,ED,EC,G39540943,Colegio Padre Apolinar
Los Corrales,Cantabria,CANT,AS,ID,G39687629,Cáritas Parroquial
Santander,Cantabria,CANT,FUN,EC,G39697750,Fundación Obra San Martín
Santander,Cantabria,CANT,AS,ID,G39697768,Fundación Diocesana Orientación Familiar
Santander,Cantabria,CANT,AS,EC,G39759584,Banco de Alimentos
Reinosa,Cantabria,CANT,AS,OR,G39820758,Siervas de María - Fundación San Francisco
Santander,Cantabria,CANT,Z,MIX,G39869094,Fundación Camino Lebaniego - Año Jubilar
Segovia,Segovia,CYL,AS,EC,G40105132,Frater - Fraternidad Cristiana Personas con Discapacidad
Segovia,Segovia,CYL,CH,EC,G40143190,Junta de Semana Santa
Segovia,Segovia,CYL,AS,EC,G40153694,Banco de Alimentos
Cuéllar,Segovia,CYL,CH,EC,G40205858,Junta de Cófradías
Segovia,Segovia,CYL,AS,EC,G40246647,Red Madre
Palazuelos,Segovia,CYL,CH,EC,G40258386,Cofradía Nazarenos Jesús de Paz
Cuéllar,Segovia,CYL,CH,EC,G40260622,A. Belenista
Cuéllar,Segovia,CYL,CH,EC,G40271421,Cofradía de Santa Águeda
Carcaixent,Valencia,VAL,CH,EC,G40529042,Cofradía Jesús Nazareno
Carcaixent,Valencia,VAL,CH,EC,G40529059,Cofradía Jesús Triunfante
Carcaixent,Valencia,VAL,CH,EC,G40529067,Cofradía Jesús en el Huerto
Carcaixent,Valencia,VAL,CH,EC,G40529075,Cofradía de los Dolores
Carcaixent,Valencia,VAL,CH,EC,G40583817,Cofradía Santísimo Ecce Homo
Carcaixent,Valencia,VAL,CH,EC,G40589830,Cofradía Cristo de la Ira
Valencia,Valencia,VAL,DEP,OR,G40594608,Escolapios - Club Malvarrosa
La Pobla de V.,Valencia,VAL,CH,EC,G40619819,Clavaria Sant Sebastiá
Mislata,Valencia,VAL,CH,EC,G40653917,Clavaria San Vicente Ferrer
Dos Hermanas,Sevilla,AND,ED,OR,G41057712,Capuchinos - Colegio
Sevilla,Sevilla,AND,AS,EC,G41063942,A. Nazarena para la Integración
Sevilla,Sevilla,AND,AS,EC,G41065566,A. Paz y Bien
Sevilla,Sevilla,AND,ED,ID,G41089244,Cáritas - Colegio Fundación San Pelayo
Dos Hermanas,Sevilla,AND,ED,OR,G41091067,Compasionistas - Colegio
Dos Hermanas,Sevilla,AND,ED,OR,G41099425,Hijas de la Caridad - APA Colegio
Cádiz,Cádiz,AND,AS,EC,G41121310,Fundación Benéfica Virgen de Valvanuz
La Rinconada,Sevilla,AND,ED,OR,G41125709,Misioneras Doctrina Cristiana - AMPA Colegio San José
Montellano,Sevilla,AND,CH,EC,G41234121,Hermandad Cristo de los Remedios
Sevilla,Sevilla,AND,ED,OR,G41280983,Opus Dei - Escuelas Familiares Agrarias
Paradas,Sevilla,AND,CH,EC,G41295627,Cofradía de Nazarenos
Albaida,Sevilla,AND,CH,EC,G41378068,Hermandad Cristo de los Afligidos
Lebrija,Sevilla,AND,AS,OR,G41400037,Hijas de la Caridad - Residencia San Andrés
Sevilla,Sevilla,AND,AS,ID,G41401860,Frater - Fraternidad Cristiana Personas con Discapacidad
Almensilla,Sevilla,AND,CH,EC,G41419797,Hermandad de San Diego
Montellano,Sevilla,AND,CH,EC,G41424706,Cofradía Cristo de los Remedios
Arahal,Sevilla,AND,CH,EC,G41430687,Hermandad Jesús Nazareno
Alcalá del Río,Sevilla,AND,AS,EC,G41440801,Hermandad de la Vera Cruz
Constantina,Sevilla,AND,CH,EC,G41451188,Hermandad Jesús Nazareno
Constantina,Sevilla,AND,CH,EC,G41452103,Hermandad N. Sra. de Robledo
Albaida,Sevilla,AND,CH,EC,G41456708,Hermandad de la Vera Cruz
Albaida,Sevilla,AND,CH,EC,G41460957,Hermandad Sacramental
Carmona,Sevilla,AND,CH,EC,G41461583,Hermandad Jesús Nazareno
Sevilla,Sevilla,AND,CH,EC,G41466244,Hermandad de Montserrat
Paradas,Sevilla,AND,CH,EC,G41469131,Hermandad N. Padre Jesús
Marchena,Sevilla,AND,CH,EC,G41470071,Hermandad Humildad y Paciencia
Dos Hermanas,Sevilla,AND,CH,EC,G41473091,Hermandad N. Sra. de Valme
Carmona,Sevilla,AND,CH,EC,G41479437,Hermandad Virgen de Gracia
Dos Hermanas,Sevilla,AND,CH,EC,G41487026,Consejo de Hermanades
Carmona,Sevilla,AND,CH,EC,G41505058,Hermandad N. Sra. del Rocío
La Rinconada,Sevilla,AND,CH,EC,G41518689,Hermandad Cristo del Perdón
Mairena del A.,Sevilla,AND,CH,EC,G41524406,Hermandad N. Sra. del Rosario
Sevilla,Sevilla,AND,AS,EC,G41526781,Proyecto Hombre - Centro Español de Solidaridad
Carmona,Sevilla,AND,CH,EC,G41533472,Hermandad del Santo Entierro
Constantina,Sevilla,AND,CH,EC,G41535857,A. Reyes Magos
Arahal,Sevilla,AND,CH,EC,G41553918,Hermandad del Santo Entierro
Valencina,Sevilla,AND,CH,EC,G41579186,Hermandad de la Vera Cruz
Constantina,Sevilla,AND,CH,EC,G41600941,Hermandad Santo Entierro
Dos Hermanas,Sevilla,AND,CH,EC,G41624636,A. Nazarena Reyes Magos
Badajoz,Badajoz,EXT,AS,OR,G41637570,Claretianos - Promoción para el Desarrollo
Sevilla,Sevilla,AND,AS,OR,G41637570,Claretianos - Promoción para el Desarrollo
Sevilla,Sevilla,AND,AS,EC,G41714155,Banco de Alimentos
Montellano,Sevilla,AND,CH,EC,G41718248,A. Romería San isidro
Arahal,Sevilla,AND,CH,EC,G41731472,Hermandad San Antonio de Padua
Bormujos,Sevilla,AND,FUN,EC,G41748757,CEU - Fundación San Pablo
Dos Hermanas,Sevilla,AND,ED,OR,G41749920,Operarias Divino Maestro - Colegio
Sevilla,Sevilla,AND,ED,ID,G41772518,Fundación Diocesana de Enseñanza
Sevilla,Sevilla,AND,ED,ID,G41772518,Fundación Diocesana de Enseñanza
Cádiz,Cádiz,AND,AS,OR,G41789447,Compañía de María - Solidaridad Internacional
Málaga,Málaga,AND,AS,OR,G41789447,Compañía de María - Solidaridad Internacional
Sevilla,Sevilla,AND,AS,OR,G41789447,Compañía de María - Solidaridad Internacional
Coria del Río,Sevilla,AND,AS,EC,G41793027,Residencia N. Sra. de la Soledad
Dos Hermanas,Sevilla,AND,CH,EC,G41818121,Hermandad de Santa Ana
La Rinconada,Sevilla,AND,CH,EC,G41879883,Hermandad N. Sra. de las Nieves
Cádiz,Cádiz,AND,AS,OR,G41882242,Hijas de la Caridad - Familia Vicenciana
Sevilla,Sevilla,AND,AS,OR,G41882242,Hijas de la Caridad - Familia Vicenciana
Montellano,Sevilla,AND,CH,EC,G41892787,Hermanos del Costal
Cádiz,Cádiz,AND,AS,OR,G41904608,Salesianas - Fundación Mornese
Marbella,Málaga,AND,AS,OR,G41904608,Salesianas - Fundación Mornese
Sevilla,Sevilla,AND,AS,OR,G41904608,Salesianas - Fundación Mornese
Badajoz,Badajoz,EXT,FUN,OR,G41908021,Jesuitas - Fundación Loyola. Escuela Virgen de Guadalupe
Las Palmas,Las Palmas,CANA,AS,OR,G41908021,Jesuitas - Fundación Loyola
Málaga,Málaga,AND,ED,OR,G41908021,Jesuitas - Fundación Loyola
Mérida,Badajoz,EXT,ED,OR,G41908021,Jesuitas - Fundación Loyola
Sevilla,Sevilla,AND,FUN,OR,G41908021,Jesuitas - Fundación Loyola
Soria,Soria,CYL,DEP,OR,G42015180,Escolapios - CD. Calasanz
Burgo de Osma,Soria,CYL,CH,EC,G42161893,A. de Belenistas
Burgo de Osma,Soria,CYL,CH,EC,G42171553,Cofradía del Santo Entierro
Burgo de Osma,Soria,CYL,CH,EC,G42171553,Cofradía de los Misterios
Soria,Soria,CYL,CH,EC,G42171553,Cofradía del Santo Entierro
Soria,Soria,CYL,RES,OR,G42190264,Clérigos Menores de San Francisco
Soria,Soria,CYL,AS,EC,G42203638,Banco de Alimentos
Guardamar,Alicante,VAL,CH,EC,G42596098,Patronato de la Pasión
El Vendrell,Tarragona,CAT,CH,EC,G43019603,Els Pastorets
Poblet,Tarragona,CAT,IC,OR,G43033547,Cistercienses - Monasterio Santa María de Poblet
Ulldecona,Tarragona,CAT,CH,EC,G43085778,Patronat de la Passio
Tarragona,Tarragona,CAT,CH,EC,G43100643,Agrupación Asociaciones de Semana Santa
Reus,Tarragona,CAT,DEP,OR,G43105535,La Salle - CB.
L'Espluga de F.,Tarragona,CAT,ED,OR,G43200567,Carmelitas de la Caridad - Colegio Vedruna N. Sra. del Carmen
Tarragona,Tarragona,CAT,CH,EC,G43250703,Hermandad Jesús de Nazaret
Reus,Tarragona,CAT,CH,EC,G43272350,Real Congregación de la Purísima Sangre
Reus,Tarragona,CAT,DEP,OR,G43288737,La Salle - CF.
Tortosa,Tarragona,CAT,AS,EC,G43308345,Grup d'Esplai Blanquerna
Reus,Tarragona,CAT,CH,EC,G43376938,Agrupación de Hermandades y Cofradías
Reus,Tarragona,CAT,CH,EC,G43376938,Agrupación de Semana Santa
Montblanc,Tarragona,CAT,CH,EC,G43377001,Congregación Purísima Sangre
El Vendrell,Tarragona,CAT,CH,EC,G43379213,Cofradía Jesús de las Penas
Tarragona,Tarragona,CAT,FUN,EC,G43438936,Fundación Obra Pía Montserrat
Reus,Tarragona,CAT,CH,EC,G43443241,Cofradia Santos Justo y Pastor
Tarragona,Tarragona,CAT,AS,EC,G43444322,Banco de Alimentos
Reus,Tarragona,CAT,AS,OR,G43458397,Hermanas de la Consolación - Casa Misericordia
Montblanc,Tarragona,CAT,CH,EC,G43507565,A. Pessebristas
El Vendrell,Tarragona,CAT,CH,EC,G43516343,Grup Pessebrista
Montblanc,Tarragona,CAT,CH,EC,G43527720,Ermitans de Sant Joan de la M.
Tarragona,Tarragona,CAT,FUN,ID,G43659481,Fundación Santa María de Siurana
Reus,Tarragona,CAT,AS,EC,G43682509,Fundació Mossén Frederic Bara
Tortosa,Tarragona,CAT,CH,EC,G43788249,Agrupación de Cofradías
Vals,Tarragona,CAT,CH,EC,G43845254,Agrupación de Cofradías
L'Espluga de F.,Tarragona,CAT,CH,EC,G43964568,Hermandad de la Santísima Trinidad
Alcorisa,Teruel,ARA,FUN,EC,G44007128,A. Católica San Sebástián
Teruel,Teruel,ARA,FUN,EC,G44007128,A. Católica Benéfico-social San Sebastián
Teruel,Teruel,ARA,CH,EC,G44019032,Hermandad Jesús atado a la Columna
Teruel,Teruel,ARA,CH,EC,G44020774,Semana Santa del Bajo Aragón
Alcañiz,Teruel,ARA,CH,EC,G44112399,Hermandad Jesús de Nazaret
Alcañiz,Teruel,ARA,CH,EC,G44112597,Hermandad del Silencio
Alcañiz,Teruel,ARA,CH,EC,G44112605,Cofradía del Santo Entierro
Alcañiz,Teruel,ARA,CH,EC,G44112613,Cofradía Esclavas de la Soledad
Teruel,Teruel,ARA,DEP,OR,G44129831,La Salle - CD.
Albarracín,Teruel,ARA,AS,MIX,G44155182,Fundación Santa María
Teruel,Teruel,ARA,AS,EC,G44166874,Frater - Fraternidad Cristiana Personas con Discapacidad
Andorra,Teruel,ARA,CH,EC,G44171684,Junta Local de Cofradías
Alcañiz,Teruel,ARA,CH,EC,G44175461,Cofradía Virgen del Carmen
Alcorisa,Teruel,ARA,CH,EC,G44175818,Cofradía Sangre de Cristo
Teruel,Teruel,ARA,AS,EC,G44227668,Banco de Alimentos
Alcañiz,Teruel,ARA,CH,EC,G44234144,Junta Suprema de Semana Santa
Teruel,Teruel,ARA,AS,EC,G44260115,Red Madre
Teruel,Teruel,ARA,CH,EC,G44268084,A. Semana Santa de Teruel
Morella,Castellón,VAL,CH,EC,G44531507,A. La Mare Deu de Vallivana
Granada,Granada,AND,ED,OR,G44592293,Hermanas del Amor de Dios - Colegio
Madrid ,Madrid,MAD,ED,OR,G44592293,Hermanas del Amor de Dios - Colegio
Madridejos,Toledo,CLM,ED,OR,G44592293,Hermanas del Amor de Dios - Colegio
Murcia,Murcia,MUR,ED,OR,G44592293,Hermanas del Amor de Dios - Colegio
Santiago,A Coruña,GAL,ED,OR,G44592293,Hermanas del Amor de Dios - Colegio
Valladolid,Valladolid,CYL,ED,OR,G44592293,Hermanas del Amor de Dios - Colegio
Lanjarón,Granada,AND,CH,EC,G44601755,Cofradía de los Dolores
San Roque,Cádiz,AND,AS,ID,G44621852,Asociación Parroquial Divina Pastora
Logroño,La Rioja,LR,ED,OR,G44636363,Maristas - Colegio San José
Toledo,Toledo,CLM,ED,OR,G44636363,Maristas - Fundación Educativa
Bilbao,Bizkaia,EUS,ED,OR,G44713659,Maristas - Fundación Vasca
Constantina,Sevilla,AND,CH,EC,G44821379,Hermandad de la Borriquita
Quart de Poblet,Valencia,VAL,CH,EC,G44917474,Cofradía del Santo Sepulcro
Talavera,Toledo,CLM,ED,OR,G45009347,La Salle - Colegio
Villafranca,Toledo,CLM,AS,ID,G45015823,Fundación Canónica Diocesana N. Sra. de la Asunción
Toledo,Toledo,CLM,AS,ID,G45017290,Fundación Benéfica San Francisco
Corral de A.,Toledo,CLM,ED,OR,G45020443,La Salle - Colegio
Toledo,Toledo,CLM,CH,EC,G45240017,Cofradía N. Sra. del Valle
Talavera,Toledo,CLM,CH,EC,G45328549,Hermandad San Isidro Labrador
Lillo,Toledo,CLM,CH,EC,G45388709,Hermandad Jesús Nazareno
Toledo,Toledo,CLM,AS,EC,G45391562,Banco de Alimentos
Madridejos,Toledo,CLM,AS,EC,G45398526,Fundación Santísimo Cristo del Prado
Toledo,Toledo,CLM,CH,EC,G45410297,Junta de Cofradías Semana Santa
Torrijos,Toledo,CLM,ED,ID,G45414885,Colegio Diocesano Santísimo Cristo de la Sangre
Toledo,Toledo,CLM,AS,EC,G45482023,Mensajeros de la Paz
Talavera,Toledo,CLM,CH,EC,G45505104,Agrupación M. Jesús Nazareno
Toledo,Toledo,CLM,CH,EC,G45505104,A. N. Padre Jesús Nazareno
Toledo,Toledo,CLM,ED,ID,G45596814,Colegio Santiago el Mayor
Illescas,Toledo,CLM,ED,ID,G45617602,Fundación Canónica La Sagra
Toledo,Toledo,CLM,CH,EC,G45623337,Hermandad Santo Sepulcro
Toledo,Toledo,CLM,AS,EC,G45672144,Fundación Canónica N. Sra. de la Paz
Yepes,Toledo,CLM,ED,ID,G45784220,Fundación San Benito Abad
Ocaña,Toledo,CLM,ED,ID,G45797289,Colegio Diocesano Santa Clara
Toledo,Toledo,CLM,CH,EC,G45811924,Junta Corpus Christi
Bargas,Toledo,CLM,ED,ID,G45824091,Colegio Diocesano Madre de la Vida
Toledo,Toledo,CLM,AS,MIX,G45862935,Mesa del Tercer Sector
Toledo,Toledo,CLM,AS,EC,G45868049,Banco de Alimentos
Toledo,Toledo,CLM,ED,ID,G45870557,Colegio N. Sra. de los Infantes
Toledo,Toledo,CLM,CUL,EC,G45872728,A. de Historia Religiosa
Valencia,Valencia,VAL,AS,EC,G46065413,Círculo Católico Obrero San José
Burjassot,Valencia,VAL,ED,EC,G46070439,Patronato Colegio Juan XXIII
Torrent,Valencia,VAL,ED,OR,G46085601,Trinitarias - Fundación Garely Pastor. Colegio
Valencia,Valencia,VAL,AS,EC,G46090999,A. Valenciana de Caridad
Sueca,Valencia,VAL,ED,EC,G46092854,Fundación San José y San Antonio de Padua
Xátiva,Valencia,VAL,ED,ID,G46099941,Colegio Diocesano Inmaculada
Valencia,Valencia,VAL,ED,EC,G46102356,Patronato Juventud Obrera - Colegio Sagrada Familia
Valencia,Valencia,VAL,AS,EC,G46103651,Casa de los Obreros San Vivente Ferrer
Carcaixent,Valencia,VAL,ED,EC,G46104139,Asilo N. Sra. de los Desamparados
Valencia,Valencia,VAL,ED,EC,G46105300,Colegio Gran Asociación N. Sra. de los Desamparados
Paterna,Valencia,VAL,ED,OR,G46128872,Dominicas - AMPA Colegio N. Sra. del Rosario
Beniganim,Valencia,VAL,ED,EC,G46140372,Asilo Hospital Cristo de la Sangre
Puçol,Valencia,VAL,ED,ID,G46150827,Colegio Diocesano Virgen al Pie de la Cruz
Valencia,Valencia,VAL,AS,EC,G46157426,Asilo San Vicente Ferrer
Massanassa,Valencia,VAL,ED,OR,G46159471,Hijas de la Caridad - Colegio San José y San Andrés
Valencia,Valencia,VAL,ED,EC,G46159745,Colegio Calderón
Gandía,Valencia,VAL,ED,OR,G46163804,Carmelitas - Colegio El Carmen
Ontinyent,Valencia,VAL,AS,EC,G46174959,Residencia San Francisco
Torrent,Valencia,VAL,AS,EC,G46175220,Secretariado Gitano
Valencia,Valencia,VAL,ED,EC,G46178257,Colegio Niño Jesús
Burjassot,Valencia,VAL,ED,ID,G46213591,Colegio Diocesano La Natividad - APA
Penya-roja,Valencia,VAL,ED,ID,G46262044,Patronato Diocesano Escuelas del Ave María
Silla,Valencia,VAL,ED,ID,G46262077,Hijas de la Caridad - Colegio Sagrada Familia
Burjassot,Valencia,VAL,RES,EC,G46264354,Colegio Mayor Juan de Ribera
Alberic,Valencia,VAL,ED,OR,G46296919,Hijas de la Caridad - Fundación Santo Hospital y C. Enseñanza
Meliana,Valencia,VAL,ED,OR,G46339354,Capuchinas - APA Católica Colegio Sagrado Corazón
Valencia,Valencia,VAL,DEP,OR,G46343265,Salesianos - CD. Don Bosco
Lliria,Valencia,VAL,ED,OR,G46346870,Caridad de Santa Ana - AMPA Colegio
Paterna,Valencia,VAL,ED,OR,G46371910,La Salle - AMPA Colegio
Cullera,Valencia,VAL,ED,OR,G46433215,Maristas - Colegio San Vicente Ferrer
Picassent,Valencia,VAL,ED,ID,G46443321,Colegio Diocesano San Cristóbla Mártir - AMPA
Valencia,Valencia,VAL,ED,ID,G46445284,Esclavas Sagrado Corazón - APA Colegio
Massanassa,Valencia,VAL,ED,OR,G46477063,Hijas de la Caridad - AMPA Católica Colegio San José
Alicante,Alicante,VAL,AS,OR,G46569133,Salesianos - Centros Juveniles Don Bosco
Valencia,Valencia,VAL,CUL,OR,G46569133,Salesianos - Centros Juveniles Don Bosco
Valencia,Valencia,VAL,IC,EC,G46571493,Iglesia Viva
Alginet,Valencia,VAL,ED,ID,G46612875,Colegio Diocesano Sagrado Corazón de Jesús
Gandía,Valencia,VAL,CH,EC,G46618336,Junta de Cofradías
Gandía,Valencia,VAL,CH,EC,G46621777,Hermandad del Santo Sepulcro
Valencia,Valencia,VAL,DEP,OR,G46646436,Salesianos - CD. Don Bosco
Valencia,Valencia,VAL,AS,MIX,G46683041,Plataforma de Voluntariado
Valencia,Valencia,VAL,ED,EC,G46701074,Federación Católica de AMPAS
Requena,Valencia,VAL,RES,EC,G46706974,Fundación Hospital de Pobres
Valencia,Valencia,VAL,DEP,OR,G46708673,Escolapios - CD Escuelas Pías
Valencia,Valencia,VAL,CH,EC,G46718953,Amigos del Corpus
Carcaixent,Valencia,VAL,ED,ID,G46729281,Colegio Diocesano Fundación Escuelas del Ave María
Paterna,Valencia,VAL,ED,OR,G46729760,La Salle - AMPA Colegio
Quart de Poblet,Valencia,VAL,CH,EC,G46733283,Clavaris Cristo de los Afligidos
Mislata,Valencia,VAL,ED,OR,G46735742,Hermanas de la Doctrina Cristiana - Fundación Madre Micaela. APA
Algemesí,Valencia,VAL,DEP,OR,G46748679,Maristas - CD.
La Pobla de V.,Valencia,VAL,ED,OR,G46768024,Hermanas de la Doctrina Cristiana - Fundación Madre Micaela Colegio
Mislata,Valencia,VAL,CH,EC,G46821633,Clavarios Cristo de la Fe
Mislata,Valencia,VAL,CH,EC,G46850962,Clavarios de San Miguel Arcángel
Quart de Poblet,Valencia,VAL,ED,ID,G46874863,Colegio Diocesano Sagrado Corazón - AMPA
Mislata,Valencia,VAL,CH,EC,G46915419,Clavarios N. Sra. de los Ángeles
Quart de Poblet,Valencia,VAL,CH,EC,G46925491,Clavarios de San Onofre
Valencia,Valencia,VAL,AS,OR,G46949376,Salesianos - Centros Juveniles Don Bosco
Sagunto,Valencia,VAL,CH,EC,G46970463,Cofradía N. Sra. de los Desamparados
Valladolid,Valladolid,CYL,ED,EC,G47006929,Casa de Beneficencia
Valladolid,Valladolid,CYL,ED,ID,G47011325,Obra Social del Santuario Nacional - Colegio de Educación Especial
Valladolid,Valladolid,CYL,AS,EC,G47012398,Fundación Asilo Santo Domingo
Medina de R.,Valladolid,CYL,AS,OR,G47012463,Hijas de la Caridad - Residencia Sancti Espíritus y Santa Ana
Valladolid,Valladolid,CYL,ED,OR,G47017561,Corazonistas - AMPA Colegio Sagrado Corazón
Valladolid,Valladolid,CYL,CH,EC,G47022298,Junta de Cofradías
Medina de R.,Valladolid,CYL,CH,EC,G47031398,Junta Local de Cofradías
Valladolid,Valladolid,CYL,CH,EC,G47031398,Junta de Semana Santa
Valladolid,Valladolid,CYL,ED,OR,G47034368,Religiosas del Apostolado del SCJ - AMPA Colegio
Medina de R.,Valladolid,CYL,RES,EC,G47038682,Asociación Pro Restauración de Templos
Tordesillas,Valladolid,CYL,CH,EC,G47043112,Junta Local de Semana Santa
Valladolid,Valladolid,CYL,ED,OR,G47067855,La Salle - AMPA Colegio San Juan Bautista de la Salle
Valladolid,Valladolid,CYL,DEP,OR,G47069877,Salesianos - CD. Don Bosco
Valladolid,Valladolid,CYL,DEP,OR,G47081237,Agustinos - CD. San Agustín
Valladolid,Valladolid,CYL,ED,OR,G47207774,Misioneras de Jesús Obrero - AMPA Colegio Inmaculada
Valladolid,Valladolid,CYL,ED,OR,G47209887,Dominicos - AMPA Colegio N. Sra. del Rosario
Valladolid,Valladolid,CYL,DEP,OR,G47211040,La Salle - CD.
Valladolid,Valladolid,CYL,DEP,OR,G47211107,La Salle - CD. Lourdes
Valladolid,Valladolid,CYL,DEP,OR,G47215363,Jesuitinas - CD.
Iscar,Valladolid,CYL,FUN,EC,G47219092,Fundación Benéfico Social Santa María Mártires
Valladolid,Valladolid,CYL,DEP,OR,G47224738,Maristas - CD. La Inmaculada
Valladolid,Valladolid,CYL,DEP,OR,G47227400,Jesuitas - CD. San José
Medina del C.,Valladolid,CYL,CH,EC,G47264080,Junta Local de Semana Santa
Valladolid,Valladolid,CYL,CH,EC,G47264080,Junta Local de Cofradías
Peñafiel,Valladolid,CYL,Z,OR,G47314851,Hermanas Caridad de Santa Ana - Residencia Santísima Trinidad
Valladolid,Valladolid,CYL,DEP,OR,G47315742,Maristas - CD. Centro Cultural
Valladolid,Valladolid,CYL,DEP,OR,G47353727,Marianistas - CD. Marianistas
Santiago,A Coruña,GAL,CUL,ID,G47361373,Fundación Las Edades del Hombre
Valladolid,Valladolid,CYL,CUL,ID,G47361373,Fundación Las Edades del Hombre
Valladolid,Valladolid,CYL,DEP,OR,G47361571,San Juan de Dios - CD.
Valladolid,Valladolid,CYL,AS,OR,G47378476,Salesianos - Centros Juveniles Don Bosco
Valladolid,Valladolid,CYL,AS,EC,G47388228,Mensajeros de la Paz
Valladolid,Valladolid,CYL,AS,EC,G47402516,MSC - Movimiento Scout Católico
Medina de Rioseco,Valladolid,CYL,CH,EC,G47442611,Hermandad de N. Señor Nazareno
Villavicencio,Valladolid,CYL,CH,EC,G47493374,Junta Local de Semana Santa
Nava del Rey,Valladolid,CYL,CH,EC,G47500889,Junta Local de Semana Santa
Valladolid,Valladolid,CYL,AS,EC,G47510417,Banco de Alimentos
Cuenca de Campos,Valladolid,CYL,CH,EC,G47511944,Junta Local de Semana Santa
Valladolid,Valladolid,CYL,ED,OR,G47559331,Cruzadas de Santa María - Colegio
Valladolid,Valladolid,CYL,DEP,OR,G47641048,Agustinas - CD.
Valladolid,Valladolid,CYL,AS,EC,G47641683,Red Madre
Valladolid,Valladolid,CYL,AS,EC,G47659610,Red Madre CYL
Valladolid,Valladolid,CYL,AS,EC,G47660220,Cebu - ONG Agustiniana
A Coruña,A Coruña,GAL,ED,OR,G47660345,Somascos - Fundación Educere - Colegio
A Guardia,A Coruña,GAL,FUN,OR,G47660345,Somascos - Fundación Educere - Colegio
Oviedo,Asturias,AST,ED,OR,G47660345,Somascos - Fundación Educere - Colegio
Santander,Cantabria,CANT,AS,OR,G47660345,Somascos - Fundación Educere - Colegio
Valladolid,Valladolid,CYL,ED,OR,G47660345,Somascos - Fundación Educere - Colegio
Vigo,Pontevedra,GAL,ED,OR,G47660345,Somascos - Fundación Educere - Colegio
Valladolid,Valladolid,CYL,AS,EC,G47687207,Juventud Obrera Católica
Olmedo,Valladolid,CYL,CH,EC,G47689328,Junta Local de Semana Santa
Valladolid,Valladolid,CYL,DEP,OR,G47733456,Corazonistas - CD.
Medina de R.,Valladolid,CYL,CH,EC,G47786181,Hermandad Virgen de Castilviejo
Valladolid,Valladolid,CYL,DEP,OR,G47794292,Carmelitas de la Caridad - CD. Ave María Vedruna
Valladolid,Valladolid,CYL,DEP,OR,G47797667,Apostolado - CD.
Bilbao,Bizkaia,EUS,AS,EC,G48067151,Santa Casa de Misericordia
Bilbao,Bizkaia,EUS,ED,OR,G48088553,Religiosas Sagrado Corazón - APA
Barakaldo,Bizkaia,EUS,AS,EC,G48094270,Fundación Miranda
Bilbao,Bizkaia,EUS,ED,EC,G48101935,Escuelas Cristianas - Colegio Amor Misericordioso - APA Católica 
Bilbao,Bizkaia,EUS,ED,EC,G48110449,Escuelas Cristianas - Colegio Jesús-María - APA Católica 
Bilbao,Bizkaia,EUS,AS,EC,G48110811,Fundación Vizcaina de Caridad
Mundaka,Bizkaia,EUS,FUN,MIX,G48125678,Santo Hospital y Asilo de Caridad
Bilbao,Bizkaia,EUS,AS,ID,G48168868,Casa de Acogida Lagun Artea
Bilbao,Bizkaia,EUS,AS,OR,G48238208,Franciscanos - Comedor de San Antonio
Bilbao,Bizkaia,EUS,ED,OR,G48240923,Religiosas María Inmaculada - Colegio - APA Católica
